N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,200",300,+0.50%,100,"3,593,809","5,969,783",49.72,"10,743,984",9.45,13.92,
2,LG에너지솔루션,"460,500","11,500",-2.44%,500,"1,077,570","234,000",4.03,"429,111",146.75,10.68,
3,SK하이닉스,"93,300",0,0.00%,"5,000","679,226","728,002",49.83,"1,892,675",6.41,16.84,
4,삼성바이오로직스,"910,000","6,000",+0.66%,"2,500","647,683","71,174",10.78,"35,990",127.06,8.21,
5,LG화학,"665,000","7,000",+1.06%,"5,000","469,439","70,592",47.79,"180,919",17.06,18.47,
6,삼성전자우,"55,100",500,+0.92%,100,"453,411","822,887",71.89,"963,459",8.65,N/A,
7,NAVER,"265,500","2,000",-0.75%,100,"435,550","164,049",53.26,"392,911",32.28,106.72,
8,삼성SDI,"623,000","4,000",+0.65%,"5,000","428,403","68,765",43.53,"169,896",31.50,8.45,
9,현대차,"196,000","3,000",+1.55%,"5,000","418,790","213,668",27.80,"623,499",10.44,6.84,
10,카카오,"82,500","1,200",-1.43%,100,"367,248","445,150",29.09,"1,061,697",14.86,17.10,
11,기아,"82,400","1,600",+1.98%,"5,000","334,019","405,363",36.42,"1,502,107",7.02,14.69,
12,셀트리온,"208,000","4,500",-2.12%,"1,000","292,847","140,792",20.92,"421,968",58.00,16.04,
13,삼성물산,"124,000",0,0.00%,100,"231,740","186,887",16.30,"559,919",17.64,5.40,
14,POSCO홀딩스,"259,500","2,500",+0.97%,"5,000","226,250","87,187",52.95,"300,054",3.10,13.97,
15,KB금융,"52,200",0,0.00%,"5,000","215,248","412,352",72.97,"1,079,927",4.72,9.80,
16,현대모비스,"226,500","1,500",+0.67%,"5,000","214,208","94,573",34.65,"191,639",9.44,6.87,
17,신한지주,"36,100",200,-0.55%,"5,000","185,169","512,934",61.73,"1,180,749",4.56,8.80,
18,SK이노베이션,"199,500","1,000",+0.50%,"5,000","184,469","92,466",25.57,"315,448",12.68,1.91,
19,SK,"230,000","1,500",+0.66%,200,"170,543","74,149",22.26,"96,882",5.61,10.19,
20,LG전자,"101,000",0,0.00%,"5,000","165,284","163,648",26.75,"1,142,178",14.49,6.32,
21,카카오뱅크,"32,950",200,-0.60%,"5,000","156,954","476,341",12.43,"960,745",66.70,4.91,
22,한국전력,"22,100",300,+1.38%,"5,000","141,874","641,964",14.92,"1,095,957",-1.25,-7.99,
23,두산에너빌리티,"21,150",850,+4.19%,"5,000","135,002","638,308",10.49,"14,199,833",31.71,10.67,
24,LG,"84,500","1,100",+1.32%,"5,000","132,919","157,301",36.19,"232,403",4.78,12.36,
25,크래프톤,"266,000","2,500",+0.95%,100,"130,532","49,072",28.84,"536,726",21.88,17.86,
26,삼성생명,"62,300",400,-0.64%,500,"124,600","200,000",13.27,"181,757",19.14,4.01,
27,포스코케미칼,"160,000",500,-0.31%,500,"123,941","77,463",7.07,"677,547",95.01,7.92,
28,현대중공업,"137,000","3,500",-2.49%,"5,000","121,619","88,773",5.81,"242,937",-11.11,-14.87,
29,HMM,"24,400",900,-3.56%,"5,000","119,326","489,039",9.41,"5,395,684",1.02,88.62,
30,하나금융지주,"39,600",550,-1.37%,"5,000","117,178","295,903",72.31,"1,239,811",3.31,10.86,
31,LG생활건강,"732,000","1,000",-0.14%,"5,000","114,325","15,618",37.79,"36,210",18.55,16.65,
32,SK텔레콤,"51,900",700,-1.33%,100,"113,574","218,833",48.10,"960,794",7.72,13.63,
33,KT&G,"81,700",200,+0.25%,"5,000","112,168","137,292",39.87,"187,037",11.59,10.74,
34,고려아연,"588,000","2,000",+0.34%,"5,000","110,956","18,870",20.07,"53,549",14.69,11.07,
35,삼성에스디에스,"134,000",0,0.00%,500,"103,686","77,378",13.33,"77,446",15.89,8.80,
36,삼성전기,"137,000","1,500",+1.11%,"5,000","102,330","74,694",25.47,"319,866",10.91,14.29,
37,S-Oil,"90,100","3,000",+3.44%,"2,500","101,437","112,583",82.27,"969,280",5.52,21.76,
38,SK바이오사이언스,"129,500","3,000",+2.37%,500,"99,435","76,784",3.87,"642,909",29.06,38.08,
39,KT,"37,650",500,-1.31%,"5,000","98,309","261,112",45.76,"849,151",6.71,9.36,
40,대한항공,"26,200",250,+0.96%,"5,000","96,474","368,221",13.16,"1,230,380",7.85,11.60,
41,카카오페이,"72,600","2,400",-3.20%,500,"96,262","132,592",43.70,"562,454",-366.67,-2.45,
42,삼성화재,"200,000","2,000",-0.99%,500,"94,750","47,375",49.63,"116,576",8.93,7.09,
43,우리금융지주,"12,400",100,+0.81%,"5,000","90,280","728,061",39.94,"2,706,197",3.26,10.59,
44,한화솔루션,"46,250",250,-0.54%,"5,000","88,466","191,278",20.72,"2,015,804",26.67,8.79,
45,엔씨소프트,"385,000","20,000",-4.94%,500,"84,523","21,954",42.38,"292,758",17.43,12.62,
46,LG이노텍,"351,000","10,500",+3.08%,"5,000","83,072","23,667",25.66,"303,107",9.19,30.94,
47,하이브,"183,000","2,500",+1.39%,500,"75,677","41,353",15.12,"202,085",47.18,6.83,
48,아모레퍼시픽,"126,500","1,000",-0.78%,500,"73,993","58,493",25.60,"121,922",49.65,4.20,
49,기업은행,"9,730",30,+0.31%,"5,000","72,420","744,301",13.55,"738,490",3.12,9.21,
50,현대글로비스,"190,000","7,000",+3.83%,500,"71,250","37,500",45.61,"223,650",7.54,14.41,
51,SK아이이테크놀로지,"93,200",500,-0.53%,"1,000","66,449","71,298",11.12,"268,535",85.58,5.57,
52,한국조선해양,"93,600",400,-0.43%,"5,000","66,244","70,773",20.83,"148,643",-5.49,-8.95,
53,롯데케미칼,"187,500","1,000",+0.54%,"5,000","64,266","34,275",23.44,"96,762",6.81,9.87,
54,CJ제일제당,"416,500","5,000",-1.19%,"5,000","62,701","15,054",24.55,"43,541",10.55,10.76,
55,SK바이오팜,"79,200",100,+0.13%,500,"62,024","78,313",5.95,"112,320",-62.41,15.75,
56,SK스퀘어,"43,250",500,-1.14%,100,"61,185","141,468",41.37,"174,817",2.68,N/A,
57,LG디스플레이,"16,500",150,-0.90%,"5,000","59,040","357,816",18.07,"923,915",6.04,9.68,
58,넷마블,"68,600","3,900",-5.38%,100,"58,964","85,954",23.51,"779,854",41.88,4.29,
59,한온시스템,"10,800",200,-1.82%,100,"57,650","533,800",17.15,"612,442",21.39,13.83,
60,F&F,"149,500","3,000",-1.97%,100,"57,269","38,307",12.48,"120,707",15.91,N/A,
61,강원랜드,"25,900",0,0.00%,500,"55,411","213,940",21.75,"457,949",227.19,-0.33,
62,LG유플러스,"12,500",50,+0.40%,"5,000","54,576","436,611",37.79,"716,033",7.96,9.47,
63,한국항공우주,"55,500",0,0.00%,"5,000","54,099","97,475",21.23,"836,596",61.19,5.19,
64,현대건설,"48,050","1,650",+3.56%,"5,000","53,506","111,356",23.78,"1,805,615",12.90,5.89,
65,삼성중공업,"6,020",30,+0.50%,"1,000","52,976","880,000",16.04,"4,172,104",-4.46,-36.89,
66,KODEX 200,"33,125",125,+0.38%,0,"52,735","159,200",2.81,"2,948,456",N/A,N/A,
67,SKC,"138,000","5,000",+3.76%,"5,000","52,258","37,868",14.60,"355,544",21.29,11.60,
68,맥쿼리인프라,"12,850",50,+0.39%,0,"52,023","404,846",13.53,"474,930",N/A,N/A,
69,한국타이어앤테크놀로지,"39,400",100,-0.25%,500,"48,807","123,875",36.19,"187,798",9.30,7.69,
70,코웨이,"65,100",300,+0.46%,500,"48,044","73,800",61.40,"86,664",10.12,27.41,
71,HD현대,"59,700","1,100",+1.88%,"1,000","47,159","78,993",16.29,"114,820",88.18,-1.99,
72,현대제철,"35,100",500,+1.45%,"5,000","46,839","133,446",21.43,"466,085",2.71,8.54,
73,DB손해보험,"63,500",500,+0.79%,500,"44,958","70,800",42.65,"150,731",4.82,13.38,
74,메리츠화재,"37,350",100,-0.27%,500,"43,626","116,802",11.46,"152,319",6.06,26.12,
75,삼성엔지니어링,"22,200",800,+3.74%,"5,000","43,512","196,000",40.09,"1,840,073",11.49,20.67,
76,현대미포조선,"108,500",500,-0.46%,"5,000","43,337","39,942",17.76,"196,390",-18.95,-7.11,
77,유한양행,"58,700",300,-0.51%,"1,000","42,987","73,231",19.29,"99,344",44.60,5.45,
78,미래에셋증권,"6,780",40,+0.59%,"5,000","41,718","615,316",13.04,"542,070",5.06,11.66,
79,오리온,"104,500","1,500",-1.42%,500,"41,315","39,536",35.73,"68,391",15.71,12.75,
80,롯데지주,"38,900",250,-0.64%,200,"40,810","104,909",8.30,"223,319",14.19,4.61,
81,금호석유,"134,500",0,0.00%,"5,000","40,748","30,296",20.18,"40,739",2.41,47.76,
82,한진칼,"60,700",300,-0.49%,"2,500","40,524","66,761",14.64,"29,370",21.38,1.11,
83,GS,"43,500",900,+2.11%,"5,000","40,418","92,915",23.31,"160,868",2.69,15.55,
84,에스디바이오센서,"38,650",50,+0.13%,500,"39,914","103,271",13.22,"373,059",3.52,72.47,
85,한미약품,"317,000",500,-0.16%,"2,500","39,048","12,318",14.36,"22,371",57.85,8.75,
86,한국가스공사,"40,850","2,050",+5.28%,"5,000","37,710","92,313",11.08,"764,548",3.22,11.63,
87,메리츠금융지주,"28,950",250,-0.86%,500,"37,299","128,838",6.94,"98,608",4.10,22.33,
88,삼성카드,"32,050",0,0.00%,"5,000","37,133","115,859",6.84,"54,917",6.47,7.53,
89,현대오토에버,"130,000","3,500",+2.77%,500,"35,651","27,424",1.93,"84,167",45.49,7.26,
90,TIGER 차이나전기차SOLACTIVE,"16,030",205,-1.26%,0,"35,638","222,320",0.57,"4,754,080",N/A,N/A,
91,한화에어로스페이스,"70,300",400,-0.57%,"5,000","35,593","50,630",20.03,"904,412",17.62,9.21,
92,일진머티리얼즈,"76,800","1,700",+2.26%,500,"35,413","46,111",10.29,"274,627",49.74,7.85,
93,쌍용C&E,"7,020",70,+1.01%,100,"35,371","503,860",2.88,"355,048",23.48,11.12,
94,한국금융지주,"62,800",100,-0.16%,"5,000","34,996","55,726",34.10,"109,719",2.32,27.12,
95,현대차2우B,"93,300","1,100",+1.19%,"5,000","34,041","36,485",59.76,"43,821",4.97,N/A,
96,NH투자증권,"10,200",50,+0.49%,"5,000","33,830","331,666",13.42,"412,359",4.07,14.77,
97,두산밥캣,"33,150",400,+1.22%,500,"33,233","100,249",24.67,"336,306",8.96,9.19,
98,삼성증권,"35,700",200,+0.56%,"5,000","31,880","89,300",27.39,"254,931",3.85,16.94,
99,메리츠증권,"4,935",15,-0.30%,"1,000","31,570","639,711",13.63,"331,481",4.23,15.77,
100,팬오션,"5,780",120,-2.03%,"1,000","30,898","534,570",15.68,"2,924,347",4.70,17.16,
101,현대해상,"34,100",750,+2.25%,500,"30,485","89,400",31.82,"931,302",6.64,8.82,
102,포스코인터내셔널,"24,650","2,100",+9.31%,"5,000","30,412","123,375",6.05,"6,669,805",7.10,10.86,
103,OCI,"125,500","3,500",-2.71%,"5,000","29,931","23,849",13.25,"400,334",4.02,23.93,
104,아모레G,"36,100",300,+0.84%,500,"29,767","82,458",14.89,"87,779",23.53,5.49,
105,이마트,"105,500","1,500",-1.40%,"5,000","29,409","27,876",27.46,"176,622",1.28,16.25,
106,CJ대한통운,"127,500","2,000",+1.59%,"5,000","29,086","22,812",18.40,"57,549",42.18,1.59,
107,BGF리테일,"167,000","2,500",-1.47%,"1,000","28,864","17,284",30.73,"67,498",18.30,19.61,
108,롯데쇼핑,"102,000","1,000",-0.97%,"5,000","28,855","28,289",12.01,"62,793",-14.24,-2.94,
109,한화시스템,"15,250",250,-1.61%,"5,000","28,810","188,919",2.98,"499,397",30.20,6.04,
110,한미사이언스,"41,650",150,+0.36%,500,"28,582","68,624",1.43,"27,267",59.16,6.37,
111,GS건설,"33,200","1,300",+4.08%,"5,000","28,413","85,581",30.25,"1,130,563",7.14,9.32,
112,호텔신라,"72,200",900,-1.23%,"5,000","28,337","39,248",16.36,"163,595",138.31,4.51,
113,현대로템,"25,550",500,+2.00%,"5,000","27,886","109,142",4.99,"6,463,544",38.08,5.01,
114,한전기술,"72,300",100,-0.14%,200,"27,633","38,220",2.52,"284,826",210.17,3.25,
115,KCC,"307,500",500,+0.16%,"5,000","27,326","8,886",9.80,"19,335",-48.20,-0.92,
116,씨에스윈드,"64,300","1,900",-2.87%,500,"27,116","42,171",10.92,"362,462",81.60,10.13,
117,GS리테일,"25,800",150,-0.58%,"1,000","27,017","104,718",7.15,"127,408",3.20,25.58,
118,만도,"56,500",200,-0.35%,"1,000","26,531","46,957",20.94,"132,830",17.94,9.31,
119,두산퓨얼셀,"40,400",50,+0.12%,100,"26,459","65,494",16.18,"1,765,012",328.46,1.69,
120,제일기획,"22,700",150,+0.67%,200,"26,114","115,041",32.41,"348,946",14.68,15.58,
121,동서,"25,450",50,-0.20%,500,"25,374","99,700",3.03,"23,789",22.27,8.05,
122,한솔케미칼,"222,000","7,000",+3.26%,"5,000","25,164","11,335",35.39,"64,875",16.99,23.88,
123,LG화학우,"323,500","1,000",-0.31%,"5,000","24,873","7,689",70.60,"11,396",8.30,N/A,
124,에스원,"63,300",100,-0.16%,500,"24,053","37,999",53.14,"35,298",18.63,9.13,
125,CJ,"81,200",500,+0.62%,"5,000","23,692","29,177",17.50,"28,874",9.48,5.66,
126,키움증권,"90,300",400,-0.44%,"5,000","23,676","26,220",24.09,"20,202",3.27,25.38,
127,대우건설,"5,680",200,+3.65%,"5,000","23,607","415,623",10.43,"3,534,430",4.63,16.47,
128,한화,"31,100",50,-0.16%,"5,000","23,312","74,959",15.14,"238,799",4.77,20.22,
129,대우조선해양,"21,700",150,+0.70%,"5,000","23,282","107,291",3.89,"666,145",-1.19,-55.86,
130,대한전선,"1,845",5,-0.27%,100,"22,961","1,244,473",2.54,"9,801,839",42.91,7.78,
131,TIGER 미국나스닥100,"77,660",540,-0.69%,0,"22,949","29,550",0.05,"279,205",N/A,N/A,
132,하이트진로,"32,550",850,+2.68%,"5,000","22,828","70,134",12.57,"394,413",29.09,6.62,
133,현대차우,"93,100",700,+0.76%,"5,000","22,676","24,357",57.55,"35,617",4.96,N/A,
134,BNK금융지주,"6,890",10,+0.15%,"5,000","22,457","325,935",38.87,"1,138,326",2.57,8.76,
135,신세계,"224,000","1,500",-0.67%,"5,000","22,053","9,845",27.15,"38,679",6.16,8.54,
136,KODEX 레버리지,"16,435",125,+0.77%,0,"21,900","133,250",2.07,"18,504,141",N/A,N/A,
137,TIGER 200,"33,140",110,+0.33%,0,"21,740","65,600",0.03,"745,730",N/A,N/A,
138,대웅제약,"178,500","2,500",-1.38%,"2,500","20,682","11,587",8.50,"11,815",33.69,4.39,
139,한화생명,"2,370",50,+2.16%,"5,000","20,584","868,530",7.43,"1,482,708",2.24,10.79,
140,LS,"62,900",600,+0.96%,"5,000","20,254","32,200",14.81,"127,614",5.83,8.15,
141,휠라홀딩스,"33,300","3,000",+9.90%,"1,000","20,230","60,752",38.95,"893,268",8.94,16.20,
142,녹십자,"172,500","1,000",+0.58%,"5,000","20,159","11,687",22.87,"17,682",17.55,10.30,
143,KODEX 200선물인버스2X,"2,855",25,-0.87%,0,"19,939","698,400",2.59,"106,109,029",N/A,N/A,
144,DB하이텍,"44,800","2,100",+4.92%,"5,000","19,891","44,399",26.62,"2,343,578",4.66,33.35,
145,LIG넥스원,"88,200","1,900",-2.11%,"5,000","19,404","22,000",11.46,"260,763",15.29,14.63,
146,현대위아,"71,200","1,200",+1.71%,"5,000","19,363","27,195",9.01,"189,211",35.51,1.96,
147,효성첨단소재,"421,000","2,500",-0.59%,"5,000","18,861","4,480",6.84,"33,725",7.13,54.69,
148,한전KPS,"41,800",150,+0.36%,200,"18,810","45,000",5.63,"311,107",24.93,9.12,
149,SK케미칼,"106,500",0,0.00%,"5,000","18,766","17,621",20.35,"63,663",13.54,11.19,
150,영원무역,"41,600",650,-1.54%,500,"18,434","44,311",28.84,"98,619",5.30,14.71,
151,코스모신소재,"59,800","1,700",-2.76%,"1,000","18,329","30,651",9.22,"608,652",85.67,9.42,
152,TIGER 미국S&P500,"13,785",30,-0.22%,0,"18,189","131,950",0.00,"1,563,020",N/A,N/A,
153,롯데정밀화학,"69,800",0,0.00%,"5,000","18,008","25,800",19.91,"132,472",3.13,30.43,
154,농심,"294,000","4,000",-1.34%,"5,000","17,883","6,083",13.59,"14,791",17.22,4.73,
155,LS ELECTRIC,"58,800",100,+0.17%,"5,000","17,640","30,000",12.76,"63,498",17.15,5.86,
156,DL이앤씨,"45,500","2,100",+4.84%,"5,000","17,606","38,694",21.45,"470,975",3.77,N/A,
157,오뚜기,"468,000","1,000",-0.21%,"5,000","17,185","3,672",12.04,"2,930",11.78,8.91,
158,동원시스템즈,"58,500",600,+1.04%,"5,000","17,075","29,188",13.10,"27,678",39.50,6.95,
159,TIGER 단기통안채,"101,135",0,0.00%,0,"16,850","16,661",4.71,"307,258",N/A,N/A,
160,솔루스첨단소재,"46,600",350,+0.76%,100,"16,362","35,111",5.07,"145,442",194.98,4.00,
161,KODEX 단기채권PLUS,"103,975",5,0.00%,0,"16,326","15,702",0.00,"1,479,029",N/A,N/A,
162,효성,"76,200",100,+0.13%,"5,000","16,056","21,071",5.44,"31,441",3.95,18.04,
163,대웅,"27,100",50,+0.18%,500,"15,756","58,142",4.38,"21,483",15.90,11.13,
164,신풍제약,"29,200",600,+2.10%,500,"15,472","52,985",5.17,"416,424",-87.69,-3.19,
165,롯데칠성,"166,000",500,-0.30%,500,"15,403","9,279",11.53,"21,874",10.62,9.96,
166,KODEX KOFR금리액티브(합성),"100,560",20,+0.02%,0,"15,280","15,195",0.00,"389,979",N/A,N/A,
167,현대백화점,"65,200","2,100",-3.12%,"5,000","15,258","23,402",21.08,"244,195",7.32,4.36,
168,코오롱인더,"55,200",300,+0.55%,"5,000","15,191","27,519",18.48,"91,070",7.39,8.20,
169,후성,"16,350",150,+0.93%,500,"15,141","92,607",3.55,"1,892,954",24.70,9.61,
170,TIGER 미국필라델피아반도체나스닥,"10,435",50,-0.48%,0,"14,995","143,700",0.37,"1,007,393",N/A,N/A,
171,TIGER 미국테크TOP10 INDXX,"11,560",120,-1.03%,0,"14,860","128,550",0.38,"583,781",N/A,N/A,
172,JB금융지주,"7,510",60,+0.81%,"5,000","14,793","196,983",27.37,"361,506",2.73,12.80,
173,DL,"70,200","2,200",+3.24%,"5,000","14,711","20,956",9.85,"151,938",2.39,26.52,
174,효성티앤씨,"338,500","2,500",-0.73%,"5,000","14,649","4,328",10.51,"27,699",2.10,76.22,
175,에스엘,"31,200",100,+0.32%,500,"14,492","46,449",14.94,"78,673",18.02,6.63,
176,대성홀딩스,"87,200",400,+0.46%,"1,000","14,030","16,089",4.84,"69,373",80.74,3.61,
177,TIGER TOP10,"10,915",40,+0.37%,0,"14,026","128,500",0.19,"249,879",N/A,N/A,
178,롯데렌탈,"38,200",100,-0.26%,"5,000","13,994","36,634",4.84,"31,709",9.59,12.28,
179,KODEX 2차전지산업,"20,475",165,-0.80%,0,"13,841","67,600",0.69,"1,180,331",N/A,N/A,
180,LX인터내셔널,"35,450","1,450",+4.26%,"5,000","13,740","38,760",26.57,"502,704",3.10,22.49,
181,두산,"83,100","1,400",+1.71%,"5,000","13,731","16,524",11.38,"148,265",95.19,11.08,
182,대덕전자,"27,750",850,+3.16%,500,"13,713","49,417",17.85,"575,451",16.45,9.55,
183,일진하이솔루스,"37,350",350,-0.93%,500,"13,563","36,313",1.67,"120,079",139.89,4.97,
184,동국제강,"14,200",150,+1.07%,"5,000","13,551","95,433",22.67,"433,736",1.71,23.41,
185,KODEX 삼성그룹,"8,785",35,+0.40%,0,"13,503","153,700",0.10,"453,852",N/A,N/A,
186,TIGER 2차전지테마,"20,440",55,-0.27%,0,"13,501","66,050",0.91,"588,775",N/A,N/A,
187,아이에스동서,"42,500","1,200",+2.91%,500,"13,129","30,893",6.08,"76,982",7.62,8.69,
188,한샘,"55,700",600,+1.09%,"1,000","13,108","23,534",13.69,"72,250",24.31,9.10,
189,DGB금융지주,"7,720",70,+0.92%,"5,000","13,058","169,146",47.69,"545,369",2.41,9.63,
190,KODEX 종합채권(AA-이상)액티브,"103,140",170,-0.16%,0,"12,873","12,481",0.00,"1,285",N/A,N/A,
191,KG스틸,"12,750",0,0.00%,"5,000","12,751","100,009",2.00,"590,545",5.51,17.99,
192,한미반도체,"12,800",250,+1.99%,100,"12,662","98,920",5.27,"341,034",12.21,34.59,
193,한국앤컴퍼니,"13,300",50,+0.38%,500,"12,626","94,935",9.14,"54,315",7.08,5.53,
194,서울가스,"252,500","2,500",+1.00%,"5,000","12,625","5,000",3.12,"14,765",68.69,0.80,
195,TIGER MSCI Korea TR,"13,540",30,+0.22%,0,"12,538","92,600",4.75,"10,947",N/A,N/A,
196,KODEX 단기채권,"103,615",5,0.00%,0,"12,408","11,975",0.54,"2,709,633",N/A,N/A,
197,롯데리츠,"5,070",30,-0.59%,500,"12,319","242,969",11.07,"251,546",33.36,1.59,
198,현대엘리베이,"30,000",300,+1.01%,"5,000","12,245","40,815",29.52,"62,057",12.05,10.62,
199,ESR켄달스퀘어리츠,"5,500",30,-0.54%,"1,000","11,720","213,089",52.65,"108,758",39.29,3.24,
200,롯데제과,"123,500",500,-0.40%,500,"11,652","9,435",14.26,"5,684",46.90,2.88,
